time,Rx,Ry,Rz,Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],mmm,distance,R(km),volacity,B_n,Vx min/max,Vy min/max,Vz min/max,Vx min/max.1,Vx min/max.2,Vx min/max.3,MOON Rx(km)[J2000-EARTH],MOON Ry(km)[J2000-EARTH],MOON Rz(km)[J2000-EARTH]
1601.276718,-34800.0,7830.0,11500.0,-4.38,-0.589,0.13,22666.29909,4894.983943386256,37477.97886759637,4.430863347023918,84377.2828855001,,,,,,,-366000.0,142000.0,84900.0
1602.276718,-35000.0,7800.0,11500.0,-4.36,-0.592,0.125,22666.29909,4899.405280401233,37657.5357664306,4.421337014976352,83574.55360799546,,,,,,,-366000.0,142000.0,84900.0
1603.276718,-35300.0,7760.0,11500.0,-4.35,-0.596,0.119,22666.29909,4903.807062881092,37928.32187165681,4.401782479859722,82385.46633514132,,,,,,,-366000.0,142000.0,84900.0
1604.276718,-35600.0,7730.0,11500.0,-4.33,-0.599,0.114,22666.29909,4908.199314809203,38201.60860487422,4.392251928111592,81210.94398518854,,,,,,,-366000.0,142000.0,84800.0
1605.276718,-35800.0,7690.0,11500.0,-4.32,-0.602,0.11,22666.29909,4912.572036730387,38380.02214694515,4.372721921183646,80457.66380240087,,,,,,,-366000.0,142000.0,84800.0
1606.276718,-36100.0,7660.0,11500.0,-4.3,-0.606,0.105,22666.29909,4916.9351667995,38654.05024056341,4.363130069113228,79320.93896026738,,,,,,,-366000.0,142000.0,84800.0
1607.276718,-36300.0,7620.0,11500.0,-4.29,-0.609,0.1,22666.29909,4921.278927957759,38833.03233073616,4.343761158259049,78591.44093078363,,,,,,,-366000.0,142000.0,84800.0
1608.276718,-36600.0,7580.0,11600.0,-4.27,-0.612,0.0953,22666.29909,4925.613092352426,39135.35997023663,4.334164394667097,77381.8653290574,,,,,,,-366000.0,142000.0,84700.0
1609.276718,-36900.0,7550.0,11600.0,-4.26,-0.615,0.0907,22666.29909,4929.927779605287,39410.30956488416,4.31468725286086,76305.90853621309,,,,,,,-366000.0,142000.0,84700.0
1610.276718,-37100.0,7510.0,11600.0,-4.24,-0.618,0.0862,22666.29909,4934.23289882431,39590.02525889571,4.30511921902286,75614.7120108786,,,,,,,-366000.0,142000.0,84700.0
1611.276718,-37400.0,7470.0,11600.0,-4.23,-0.621,0.0818,22666.29909,4938.518567318256,39863.77929900777,4.28566849394584,74579.74954955396,,,,,,,-367000.0,142000.0,84700.0
1612.276718,-37600.0,7430.0,11600.0,-4.22,-0.623,0.0775,22666.29909,4942.794690824424,40044.03700927268,4.276123506167707,73909.82124815315,,,,,,,-367000.0,142000.0,84600.0
1613.276718,-37900.0,7400.0,11600.0,-4.2,-0.626,0.0732,22666.29909,4947.0611337515,40320.3422604521,4.266442927076372,72900.32091796445,,,,,,,-367000.0,142000.0,84600.0
1614.276718,-38100.0,7360.0,11600.0,-4.19,-0.629,0.069,22666.29909,4951.308160268959,40501.10615773352,4.247026517459009,72251.03797162625,,,,,,,-367000.0,142000.0,84600.0
1615.276718,-38400.0,7320.0,11600.0,-4.17,-0.631,0.0649,22666.29909,4955.545671566879,40776.24798825905,4.237511297920043,71279.28529240232,,,,,,,-367000.0,142000.0,84600.0
1616.276718,-38600.0,7280.0,11600.0,-4.16,-0.634,0.0608,22666.29909,4959.763641814521,40957.51945613894,4.217970247642817,70649.73995275512,,,,,,,-367000.0,142000.0,84500.0
1617.276718,-38900.0,7240.0,11600.0,-4.15,-0.637,0.0568,22666.29909,4963.972115723196,41233.33117758011,4.20847390867521,69707.74209032094,,,,,,,-367000.0,142000.0,84500.0
1618.276718,-39100.0,7210.0,11600.0,-4.13,-0.639,0.0529,22666.29909,4968.171103129703,41416.83353420442,4.198987406506479,69091.4130942193,,,,,,,-367000.0,142000.0,84500.0
1619.276718,-39400.0,7170.0,11600.0,-4.12,-0.641,0.049,22666.29909,4972.350579102836,41693.27163943842,4.179475973133474,68178.25943408154,,,,,,,-367000.0,141000.0,84500.0
1620.276718,-39600.0,7130.0,11600.0,-4.11,-0.644,0.0452,22666.29909,4976.520433057113,41875.49283292078,4.169853954277055,67586.19507924872,,,,,,,-367000.0,141000.0,84400.0
1621.276718,-39900.0,7090.0,11600.0,-4.1,-0.646,0.0415,22666.29909,4980.68082715383,42152.55745503468,4.160394096717281,66700.6401573459,,,,,,,-367000.0,141000.0,84400.0
1622.276718,-40100.0,7050.0,11600.0,-4.08,-0.648,0.0378,22666.29909,4984.831614820045,42335.23945839919,4.150787666214691,66126.23846315836,,,,,,,-367000.0,141000.0,84400.0
1623.276718,-40400.0,7010.0,11600.0,-4.07,-0.65,0.0342,22666.29909,4988.962926093721,42612.91001562789,4.131311273675708,65267.27401850095,,,,,,,-367000.0,141000.0,84400.0
1624.276718,-40600.0,6970.0,11600.0,-4.06,-0.653,0.0306,22666.29909,4993.084645351506,42796.03836805459,4.121719257785518,64709.89925582991,,,,,,,-367000.0,141000.0,84300.0
1625.276718,-40800.0,6930.0,11600.0,-4.05,-0.655,0.0271,22666.29909,4997.196937335303,42979.35434601129,4.11229198379687,64159.07382255531,,,,,,,-367000.0,141000.0,84300.0
1626.276718,-41100.0,6900.0,11600.0,-4.03,-0.657,0.0236,22666.29909,5001.299650999453,43259.4498346893,4.102713664149619,63330.93157240278,,,,,,,-367000.0,141000.0,84300.0
